"model","layer","n_layers","n_rows","beta","se","chi2","p","daic","sig","layer_pct"
"eleutherai_pythia_1.4b_deduped",0,24,45879,-0.00788942341624791,0.0017028754206841,21.355941398273,3.81436811283171e-06,19.355941398273,"***",0
"eleutherai_pythia_1.4b_deduped",1,24,45879,-0.0122734080870693,0.00233431670621675,27.5524109308753,1.52894667278626e-07,25.5524109308753,"***",0.0434782608695652
"eleutherai_pythia_1.4b_deduped",2,24,45879,-0.0115934799077131,0.00236628521210576,23.920591885646,1.00392166111914e-06,21.920591885646,"***",0.0869565217391304
"eleutherai_pythia_1.4b_deduped",3,24,45879,-0.00988012731788828,0.00186593066115,27.9229543481924,1.26243209159984e-07,25.9229543481924,"***",0.130434782608696
"eleutherai_pythia_1.4b_deduped",4,24,45879,-0.0115239992731689,0.00173031211604043,44.0957200824487,3.12703922120035e-11,42.0957200824487,"***",0.173913043478261
"eleutherai_pythia_1.4b_deduped",5,24,45879,-0.012355224185839,0.00179376769303106,47.1413462420896,6.60476175162418e-12,45.1413462420896,"***",0.217391304347826
"eleutherai_pythia_1.4b_deduped",6,24,45879,-0.0126837802116716,0.00171660901639666,54.1441795639112,1.86304922900907e-13,52.1441795639112,"***",0.260869565217391
"eleutherai_pythia_1.4b_deduped",7,24,45879,-0.0128803768637355,0.00176534673764764,52.7544118997903,3.77973340501843e-13,50.7544118997903,"***",0.304347826086957
"eleutherai_pythia_1.4b_deduped",8,24,45879,-0.0126694026093036,0.00168269008034524,56.1659484538832,6.66051315008731e-14,54.1659484538832,"***",0.347826086956522
"eleutherai_pythia_1.4b_deduped",9,24,45879,-0.0139541755442745,0.00163114947399011,72.3060566144122,1.84280947700961e-17,70.3060566144122,"***",0.391304347826087
"eleutherai_pythia_1.4b_deduped",10,24,45879,-0.015049464794768,0.00165702478106975,81.4707960710657,1.77870642551317e-19,79.4707960710657,"***",0.434782608695652
"eleutherai_pythia_1.4b_deduped",11,24,45879,-0.0161757925899981,0.00163646746818121,96.272706885502,1.00100501427106e-22,94.272706885502,"***",0.478260869565217
"eleutherai_pythia_1.4b_deduped",12,24,45879,-0.0170823778079972,0.00165517977965295,104.726915077976,1.40183837298415e-24,102.726915077976,"***",0.521739130434783
"eleutherai_pythia_1.4b_deduped",13,24,45879,-0.018328331871407,0.00160705039942521,127.531985477093,1.42092335587771e-29,125.531985477093,"***",0.565217391304348
"eleutherai_pythia_1.4b_deduped",14,24,45879,-0.0187386085912065,0.00145113534001795,162.834914981271,2.71823156309271e-37,160.834914981271,"***",0.608695652173913
"eleutherai_pythia_1.4b_deduped",15,24,45879,-0.0183316796988126,0.00138360621603382,171.438072898338,3.58991838767365e-39,169.438072898338,"***",0.652173913043478
"eleutherai_pythia_1.4b_deduped",16,24,45879,-0.0200582900649502,0.00141092478592434,196.639471882256,1.13032868007267e-44,194.639471882256,"***",0.695652173913043
"eleutherai_pythia_1.4b_deduped",17,24,45879,-0.0184258845266129,0.00128592850156408,199.930251953323,2.16297995892036e-45,197.930251953323,"***",0.739130434782609
"eleutherai_pythia_1.4b_deduped",18,24,45879,-0.0190389565719524,0.00125161711279892,224.649810754883,8.75363222582169e-51,222.649810754883,"***",0.782608695652174
"eleutherai_pythia_1.4b_deduped",19,24,45879,-0.0179278185191229,0.0012253933029626,208.300885685821,3.22530953530313e-47,206.300885685821,"***",0.826086956521739
"eleutherai_pythia_1.4b_deduped",20,24,45879,-0.0183974795063402,0.00120503006972856,226.439713922533,3.56293126887344e-51,224.439713922533,"***",0.869565217391304
"eleutherai_pythia_1.4b_deduped",21,24,45879,-0.0180650787872116,0.00121611648279794,214.777073572841,1.24651668977935e-48,212.777073572841,"***",0.91304347826087
"eleutherai_pythia_1.4b_deduped",22,24,45879,-0.0170434049062604,0.00118628765163621,201.577505931535,9.45347296182951e-46,199.577505931535,"***",0.956521739130435
"eleutherai_pythia_1.4b_deduped",23,24,45879,-0.0188865711429773,0.00126090895604176,218.653338498465,1.77880693878361e-49,216.653338498465,"***",1
"eleutherai_pythia_12b_deduped",0,36,45879,-0.00516613222839003,0.0023543367429615,4.80302287895756,0.0284098476701382,2.80302287895756,"*",0
"eleutherai_pythia_12b_deduped",1,36,45879,-0.00864483002240992,0.00229347513016273,14.1751987739262,0.000166551403735276,12.1751987739262,"***",0.0285714285714286
"eleutherai_pythia_12b_deduped",2,36,45879,-0.00950720403430807,0.00217447279376054,19.0561857137072,1.26925684841395e-05,17.0561857137072,"***",0.0571428571428571
"eleutherai_pythia_12b_deduped",3,36,45879,-0.0101818522498697,0.00195557715751714,26.9874714163452,2.0477848045355e-07,24.9874714163452,"***",0.0857142857142857
"eleutherai_pythia_12b_deduped",4,36,45879,-0.0127465829074171,0.00191828684089299,43.8257299120887,3.5895487459552e-11,41.8257299120887,"***",0.114285714285714
"eleutherai_pythia_12b_deduped",5,36,45879,-0.0148286844714283,0.00185275122168096,63.3760010808182,1.70786114939258e-15,61.3760010808182,"***",0.142857142857143
"eleutherai_pythia_12b_deduped",6,36,45879,-0.0149926699709587,0.0018592365601618,64.3237532913045,1.05565344640583e-15,62.3237532913045,"***",0.171428571428571
"eleutherai_pythia_12b_deduped",7,36,45879,-0.0157019436020088,0.00183875819518169,72.0250911748153,2.12478397717563e-17,70.0250911748153,"***",0.2
