subject,sentence,word,N400,N400base,surpSF,surpMYLM,surpGPT2,mylmSU,SU
subj_1,sent_0,cannot,-1.859916091,-2.745968103,5.654219151,4.480617523,6.530845168,0.304788232,0.071176983
subj_1,sent_0,tell,-0.326975942,-0.486988902,4.391322136,5.375572205,2.612545924,0.268259287,0.111563466
subj_1,sent_0,you,3.984934092,1.054486752,1.451230526,1.324808836,0.151284222,0.276582479,0.061196752
subj_1,sent_0,more,6.883699417,2.721698284,8.075971603,7.233487606,7.31247617,0.28517741,0.047544714
subj_2,sent_0,cannot,0.159258038,-8.376791954,5.654219151,4.480617523,6.530845168,0.304788232,0.071176983
subj_2,sent_0,tell,0.063073352,-3.955885649,4.391322136,5.375572205,2.612545924,0.268259287,0.111563466
subj_2,sent_0,you,4.840162277,-4.617165565,1.451230526,1.324808836,0.151284222,0.276582479,0.061196752
subj_2,sent_0,more,-1.718581557,0.572154343,8.075971603,7.233487606,7.31247617,0.28517741,0.047544714
subj_3,sent_0,cannot,1.566216469,4.091740131,5.654219151,4.480617523,6.530845168,0.304788232,0.071176983
subj_3,sent_0,tell,3.162119865,-4.690986156,4.391322136,5.375572205,2.612545924,0.268259287,0.111563466
subj_3,sent_0,you,-2.347114801,3.474266052,1.451230526,1.324808836,0.151284222,0.276582479,0.061196752
subj_3,sent_0,more,1.814665556,4.381499767,8.075971603,7.233487606,7.31247617,0.28517741,0.047544714
subj_4,sent_0,cannot,1.971101403,2.735250235,5.654219151,4.480617523,6.530845168,0.304788232,0.071176983
subj_4,sent_0,tell,-4.706203938,3.428241968,4.391322136,5.375572205,2.612545924,0.268259287,0.111563466
subj_4,sent_0,you,-2.926878452,-10.27599144,1.451230526,1.324808836,0.151284222,0.276582479,0.061196752
subj_4,sent_0,more,-1.208654642,2.725929499,8.075971603,7.233487606,7.31247617,0.28517741,0.047544714
subj_5,sent_0,cannot,1.304841042,5.965624332,5.654219151,4.480617523,6.530845168,0.304788232,0.071176983
